game_detail,date,opening_total_line,opening_result,closing_total_line,closing_result,game_total,game_id
GB 10 @ CHI 3,2019-09-05,46.5,under,47.0,under,13,2019_01_GB_CHI
ATL 12 @ MIN 28,2019-09-08,48.0,under,47.0,under,40,2019_01_ATL_MIN
BAL 59 @ MIA 10,2019-09-08,38.0,over,41.0,over,69,2019_01_BAL_MIA
BUF 17 @ NYJ 16,2019-09-08,40.5,under,41.0,under,33,2019_01_BUF_NYJ
KC 40 @ JAC 26,2019-09-08,51.5,over,49.0,over,66,2019_01_KC_JAX
LAR 30 @ CAR 27,2019-09-08,50.0,over,49.5,over,57,2019_01_LA_CAR
TEN 43 @ CLE 13,2019-09-08,45.5,over,44.0,over,56,2019_01_TEN_CLE
WAS 27 @ PHI 32,2019-09-08,45.5,over,44.0,over,59,2019_01_WAS_PHI
CIN 20 @ SEA 21,2019-09-08,44.0,under,44.0,under,41,2019_01_CIN_SEA
IND 24 @ LAC 30,2019-09-08,44.5,over,44.5,over,54,2019_01_IND_LAC
DET 27 @ ARI 27,2019-09-08,46.5,over,45.5,over,54,2019_01_DET_ARI
NYG 17 @ DAL 35,2019-09-08,45.5,over,44.0,over,52,2019_01_NYG_DAL
SF 31 @ TB 17,2019-09-08,51.0,under,51.0,under,48,2019_01_SF_TB
PIT 3 @ NE 33,2019-09-08,49.5,under,49.0,under,36,2019_01_PIT_NE
HOU 28 @ NO 30,2019-09-09,52.5,over,52.0,over,58,2019_01_HOU_NO
DEN 16 @ OAK 24,2019-09-09,43.5,under,42.5,under,40,2019_01_DEN_OAK
ATL 12 @ PHI 18,2018-09-06,46.5,under,44.5,under,30,2018_01_ATL_PHI
BUF 3 @ BAL 47,2018-09-09,42.5,over,39.0,over,50,2018_01_BUF_BAL
CIN 34 @ IND 23,2018-09-09,47.0,over,47.5,over,57,2018_01_CIN_IND
HOU 20 @ NE 27,2018-09-09,51.0,under,49.5,under,47,2018_01_HOU_NE
JAC 20 @ NYG 15,2018-09-09,44.0,under,43.0,under,35,2018_01_JAX_NYG
PIT 21 @ CLE 21,2018-09-09,47.0,under,41.0,over,42,2018_01_PIT_CLE
SF 16 @ MIN 24,2018-09-09,47.0,under,46.5,under,40,2018_01_SF_MIN
TB 48 @ NO 40,2018-09-09,51.5,over,50.0,over,88,2018_01_TB_NO
TEN 20 @ MIA 27,2018-09-09,46.5,over,43.5,over,47,2018_01_TEN_MIA
KC 38 @ LAC 28,2018-09-09,47.5,over,48.0,over,66,2018_01_KC_LAC
DAL 8 @ CAR 16,2018-09-09,44.0,under,42.5,under,24,2018_01_DAL_CAR
SEA 24 @ DEN 27,2018-09-09,42.0,over,42.5,over,51,2018_01_SEA_DEN
WAS 24 @ ARI 6,2018-09-09,44.0,under,43.5,under,30,2018_01_WAS_ARI
CHI 23 @ GB 24,2018-09-09,48.0,under,45.0,over,47,2018_01_CHI_GB
NYJ 48 @ DET 17,2018-09-10,44.0,over,44.0,over,65,2018_01_NYJ_DET
LAR 33 @ OAK 13,2018-09-10,49.5,under,47.5,under,46,2018_01_LA_OAK
KC 42 @ NE 27,2017-09-07,48.5,over,47.5,over,69,2017_01_KC_NE
JAC 29 @ HOU 7,2017-09-10,42.0,under,38.0,under,36,2017_01_JAX_HOU
NYJ 12 @ BUF 21,2017-09-10,42.5,under,42.0,under,33,2017_01_NYJ_BUF
PHI 30 @ WAS 17,2017-09-10,48.0,under,49.5,under,47,2017_01_PHI_WAS
OAK 26 @ TEN 16,2017-09-10,51.5,under,49.5,under,42,2017_01_OAK_TEN
ATL 23 @ CHI 17,2017-09-10,50.5,under,48.0,under,40,2017_01_ATL_CHI
BAL 20 @ CIN 0,2017-09-10,43.0,under,41.5,under,20,2017_01_BAL_CIN
PIT 21 @ CLE 18,2017-09-10,47.5,under,47.0,under,39,2017_01_PIT_CLE
ARI 23 @ DET 35,2017-09-10,48.5,over,48.5,over,58,2017_01_ARI_DET
IND 9 @ LAR 46,2017-09-10,47.0,over,41.5,over,55,2017_01_IND_LA
SEA 9 @ GB 17,2017-09-10,49.5,under,49.5,under,26,2017_01_SEA_GB
CAR 23 @ SF 3,2017-09-10,48.0,under,45.5,under,26,2017_01_CAR_SF
NYG 3 @ DAL 19,2017-09-10,49.5,under,46.5,under,22,2017_01_NYG_DAL
NO 19 @ MIN 29,2017-09-11,48.0,push,47.5,over,48,2017_01_NO_MIN
LAC 21 @ DEN 24,2017-09-11,44.0,over,41.5,over,45,2017_01_LAC_DEN
TB 30 @ MIA 20,2017-09-10,40.0,over,44.0,over,50,2017_01_TB_MIA
CAR 20 @ DEN 21,2016-09-08,43.0,under,40.5,over,41,2016_01_CAR_DEN
BUF 7 @ BAL 13,2016-09-11,43.0,under,44.5,under,20,2016_01_BUF_BAL
GB 27 @ JAC 23,2016-09-11,47.0,over,47.0,over,50,2016_01_GB_JAX
SD 27 @ KC 33,2016-09-11,43.0,over,45.5,over,60,2016_01_SD_KC
OAK 35 @ NO 34,2016-09-11,50.0,over,50.0,over,69,2016_01_OAK_NO
CHI 14 @ HOU 23,2016-09-11,44.0,under,43.0,under,37,2016_01_CHI_HOU
CLE 10 @ PHI 29,2016-09-11,45.0,under,41.0,under,39,2016_01_CLE_PHI
MIN 25 @ TEN 16,2016-09-11,41.0,push,40.0,over,41,2016_01_MIN_TEN
TB 31 @ ATL 24,2016-09-11,47.5,over,46.5,over,55,2016_01_TB_ATL
CIN 23 @ NYJ 22,2016-09-11,42.5,over,42.0,over,45,2016_01_CIN_NYJ
MIA 10 @ SEA 12,2016-09-11,49.0,under,43.5,under,22,2016_01_MIA_SEA
NYG 20 @ DAL 19,2016-09-11,49.0,under,47.5,under,39,2016_01_NYG_DAL
DET 39 @ IND 35,2016-09-11,49.0,over,51.5,over,74,2016_01_DET_IND
NE 23 @ ARI 21,2016-09-11,47.5,under,44.5,under,44,2016_01_NE_ARI
PIT 38 @ WAS 16,2016-09-12,50.5,over,49.0,over,54,2016_01_PIT_WAS
LA 0 @ SF 28,2016-09-12,46.0,under,44.0,under,28,2016_01_LA_SF
PIT 21 @ NE 28,2015-09-10,48.5,over,51.0,under,49,2015_01_PIT_NE
KC 27 @ HOU 20,2015-09-13,42.0,over,41.0,over,47,2015_01_KC_HOU
IND 14 @ BUF 27,2015-09-13,47.0,under,44.5,under,41,2015_01_IND_BUF
GB 31 @ CHI 23,2015-09-13,50.0,over,48.5,over,54,2015_01_GB_CHI
CAR 20 @ JAC 9,2015-09-13,42.5,under,41.0,under,29,2015_01_CAR_JAX
CLE 10 @ NYJ 31,2015-09-13,41.0,push,39.0,over,41,2015_01_CLE_NYJ
MIA 17 @ WAS 10,2015-09-13,44.0,under,45.5,under,27,2015_01_MIA_WAS
SEA 31 @ STL 34,2015-09-13,43.0,over,41.5,over,65,2015_01_SEA_STL
DET 28 @ SD 33,2015-09-13,45.5,over,45.5,over,61,2015_01_DET_SD
NO 19 @ ARI 31,2015-09-13,47.0,over,48.5,over,50,2015_01_NO_ARI
CIN 33 @ OAK 13,2015-09-13,44.0,over,43.0,over,46,2015_01_CIN_OAK
BAL 13 @ DEN 19,2015-09-13,52.0,under,46.5,under,32,2015_01_BAL_DEN
TEN 42 @ TB 14,2015-09-13,42.0,over,40.5,over,56,2015_01_TEN_TB
NYG 26 @ DAL 27,2015-09-13,49.5,over,52.0,over,53,2015_01_NYG_DAL
PHI 24 @ ATL 26,2015-09-14,53.0,under,55.0,under,50,2015_01_PHI_ATL
MIN 3 @ SF 20,2015-09-14,41.0,under,42.5,under,23,2015_01_MIN_SF
GB 16 @ SEA 36,2014-09-04,45.0,over,46.5,over,52,2014_01_GB_SEA
NO 34 @ ATL 37,2014-09-07,52.0,over,51.0,over,71,2014_01_NO_ATL
MIN 34 @ STL 6,2014-09-07,45.0,under,43.5,under,40,2014_01_MIN_STL
CLE 27 @ PIT 30,2014-09-07,52.0,over,41.5,over,57,2014_01_CLE_PIT
JAC 17 @ PHI 34,2014-09-07,52.0,under,49.0,over,51,2014_01_JAX_PHI
OAK 14 @ NYJ 19,2014-09-07,39.5,under,41.0,under,33,2014_01_OAK_NYJ
CIN 23 @ BAL 16,2014-09-07,43.0,under,43.5,under,39,2014_01_CIN_BAL
BUF 23 @ CHI 20,2014-09-07,49.0,under,47.0,under,43,2014_01_BUF_CHI
WAS 6 @ HOU 17,2014-09-07,46.0,under,43.5,under,23,2014_01_WAS_HOU
TEN 26 @ KC 10,2014-09-07,43.5,under,45.5,under,36,2014_01_TEN_KC
NE 20 @ MIA 33,2014-09-07,47.0,over,47.5,over,53,2014_01_NE_MIA
CAR 20 @ TB 14,2014-09-07,40.0,under,38.5,under,34,2014_01_CAR_TB
SF 28 @ DAL 17,2014-09-07,48.0,under,49.0,under,45,2014_01_SF_DAL
IND 24 @ DEN 31,2014-09-07,55.0,push,52.5,over,55,2014_01_IND_DEN
NYG 14 @ DET 35,2014-09-08,45.5,over,45.0,over,49,2014_01_NYG_DET
SD 17 @ ARI 18,2014-09-08,44.0,under,45.5,under,35,2014_01_SD_ARI
BAL 27 @ DEN 49,2013-09-05,49.5,over,48.5,over,76,2013_01_BAL_DEN
NE 23 @ BUF 21,2013-09-08,49.0,under,50.5,under,44,2013_01_NE_BUF
TEN 16 @ PIT 9,2013-09-08,42.0,under,42.0,under,25,2013_01_TEN_PIT
TB 17 @ NYJ 18,2013-09-08,39.5,under,40.0,under,35,2013_01_TB_NYJ
ATL 17 @ NO 23,2013-09-08,54.0,under,54.5,under,40,2013_01_ATL_NO
KC 28 @ JAC 2,2013-09-08,41.0,under,42.5,under,30,2013_01_KC_JAX
SEA 12 @ CAR 7,2013-09-08,45.0,under,44.5,under,19,2013_01_SEA_CAR
CIN 21 @ CHI 24,2013-09-08,43.0,over,41.5,over,45,2013_01_CIN_CHI
MIA 23 @ CLE 10,2013-09-08,41.5,under,40.5,under,33,2013_01_MIA_CLE
MIN 24 @ DET 34,2013-09-08,46.5,over,46.0,over,58,2013_01_MIN_DET
OAK 17 @ IND 21,2013-09-08,47.0,under,45.0,under,38,2013_01_OAK_IND
ARI 24 @ STL 27,2013-09-08,41.5,over,42.5,over,51,2013_01_ARI_STL
GB 28 @ SF 34,2013-09-08,48.5,over,47.0,over,62,2013_01_GB_SF
NYG 31 @ DAL 36,2013-09-08,48.5,over,49.5,over,67,2013_01_NYG_DAL
PHI 33 @ WAS 27,2013-09-09,50.5,over,51.0,over,60,2013_01_PHI_WAS
HOU 31 @ SD 28,2013-09-09,44.0,over,44.0,over,59,2013_01_HOU_SD
DAL 24 @ NYG 17,2012-09-05,47.0,under,45.5,under,41,2012_01_DAL_NYG
IND 21 @ CHI 41,2012-09-09,40.5,over,41.5,over,62,2012_01_IND_CHI
NE 34 @ TEN 13,2012-09-09,47.5,under,48.0,under,47,2012_01_NE_TEN
BUF 28 @ NYJ 48,2012-09-09,42.5,over,39.5,over,76,2012_01_BUF_NYJ
WAS 40 @ NO 32,2012-09-09,50.5,over,50.0,over,72,2012_01_WAS_NO
JAC 23 @ MIN 26,2012-09-09,38.0,over,38.0,over,49,2012_01_JAX_MIN
ATL 40 @ KC 24,2012-09-09,41.5,over,43.0,over,64,2012_01_ATL_KC
PHI 17 @ CLE 16,2012-09-09,41.5,under,42.0,under,33,2012_01_PHI_CLE
STL 23 @ DET 27,2012-09-09,46.5,over,46.0,over,50,2012_01_STL_DET
MIA 10 @ HOU 30,2012-09-09,43.5,under,41.5,under,40,2012_01_MIA_HOU
SF 30 @ GB 22,2012-09-09,45.0,over,46.5,over,52,2012_01_SF_GB
SEA 16 @ ARI 20,2012-09-09,41.5,under,41.0,under,36,2012_01_SEA_ARI
CAR 10 @ TB 16,2012-09-09,46.5,under,45.5,under,26,2012_01_CAR_TB
PIT 19 @ DEN 31,2012-09-09,45.0,over,45.5,over,50,2012_01_PIT_DEN
CIN 13 @ BAL 44,2012-09-10,41.0,over,43.0,over,57,2012_01_CIN_BAL
SD 22 @ OAK 14,2012-09-10,47.5,under,47.5,under,36,2012_01_SD_OAK
NO 34 @ GB 42,2011-09-08,46.0,over,47.5,over,76,2011_01_NO_GB
PIT 7 @ BAL 35,2011-09-11,37.0,over,37.0,over,42,2011_01_PIT_BAL
DET 27 @ TB 20,2011-09-11,40.0,over,43.5,over,47,2011_01_DET_TB
ATL 12 @ CHI 30,2011-09-11,41.0,over,40.5,over,42,2011_01_ATL_CHI
BUF 41 @ KC 7,2011-09-11,42.0,over,38.5,over,48,2011_01_BUF_KC
IND 7 @ HOU 34,2011-09-11,46.5,under,44.0,under,41,2011_01_IND_HOU
PHI 31 @ STL 13,2011-09-11,44.5,under,44.0,push,44,2011_01_PHI_STL
CIN 27 @ CLE 17,2011-09-11,37.0,over,36.5,over,44,2011_01_CIN_CLE
TEN 14 @ JAC 16,2011-09-11,40.0,under,38.0,under,30,2011_01_TEN_JAX
NYG 14 @ WAS 28,2011-09-11,38.5,over,40.5,over,42,2011_01_NYG_WAS
CAR 21 @ ARI 28,2011-09-11,37.0,over,37.5,over,49,2011_01_CAR_ARI
SEA 17 @ SF 33,2011-09-11,40.0,over,38.0,over,50,2011_01_SEA_SF
MIN 17 @ SD 24,2011-09-11,41.0,push,43.5,under,41,2011_01_MIN_SD
DAL 24 @ NYJ 27,2011-09-11,41.0,over,41.0,over,51,2011_01_DAL_NYJ
NE 38 @ MIA 24,2011-09-12,45.0,over,45.5,over,62,2011_01_NE_MIA
OAK 23 @ DEN 20,2011-09-12,41.0,over,40.5,over,43,2011_01_OAK_DEN
MIN 9 @ NO 14,2010-09-09,51.5,under,51.5,under,23,2010_01_MIN_NO
CAR 18 @ NYG 31,2010-09-12,40.0,over,39.5,over,49,2010_01_CAR_NYG
MIA 15 @ BUF 10,2010-09-12,37.5,under,37.0,under,25,2010_01_MIA_BUF
ATL 9 @ PIT 15,2010-09-12,40.5,under,38.0,under,24,2010_01_ATL_PIT
DET 14 @ CHI 19,2010-09-12,42.5,under,42.5,under,33,2010_01_DET_CHI
CIN 24 @ NE 38,2010-09-12,44.0,over,44.0,over,62,2010_01_CIN_NE
CLE 14 @ TB 17,2010-09-12,36.5,under,36.0,under,31,2010_01_CLE_TB
DEN 17 @ JAC 24,2010-09-12,41.5,under,40.0,over,41,2010_01_DEN_JAX
IND 24 @ HOU 34,2010-09-12,45.0,over,47.5,over,58,2010_01_IND_HOU
OAK 13 @ TEN 38,2010-09-12,41.0,over,41.0,over,51,2010_01_OAK_TEN
GB 27 @ PHI 20,2010-09-12,45.5,over,45.5,over,47,2010_01_GB_PHI
SF 6 @ SEA 31,2010-09-12,38.0,under,38.0,under,37,2010_01_SF_SEA
ARI 17 @ STL 13,2010-09-12,41.5,under,39.5,under,30,2010_01_ARI_STL
DAL 7 @ WAS 13,2010-09-12,43.0,under,41.0,under,20,2010_01_DAL_WAS
BAL 10 @ NYJ 9,2010-09-13,37.0,under,36.5,under,19,2010_01_BAL_NYJ
SD 14 @ KC 21,2010-09-13,44.5,under,45.5,under,35,2010_01_SD_KC
TEN 10 @ PIT 13,2009-09-10,35.0,under,35.5,under,23,2009_01_TEN_PIT
MIA 7 @ ATL 19,2009-09-13,43.0,under,44.0,under,26,2009_01_MIA_ATL
KC 24 @ BAL 38,2009-09-13,37.5,over,36.5,over,62,2009_01_KC_BAL
PHI 38 @ CAR 10,2009-09-13,44.5,over,43.5,over,48,2009_01_PHI_CAR
DEN 12 @ CIN 7,2009-09-13,44.5,under,41.0,under,19,2009_01_DEN_CIN
MIN 34 @ CLE 20,2009-09-13,39.5,over,39.5,over,54,2009_01_MIN_CLE
NYJ 24 @ HOU 7,2009-09-13,43.0,under,44.5,under,31,2009_01_NYJ_HOU
JAC 12 @ IND 14,2009-09-13,44.5,under,45.0,under,26,2009_01_JAX_IND
DET 27 @ NO 45,2009-09-13,48.5,over,50.0,over,72,2009_01_DET_NO
DAL 34 @ TB 21,2009-09-13,42.0,over,40.0,over,55,2009_01_DAL_TB
SF 20 @ ARI 16,2009-09-13,47.0,under,45.5,under,36,2009_01_SF_ARI
WAS 17 @ NYG 23,2009-09-13,39.5,over,37.0,over,40,2009_01_WAS_NYG
STL 0 @ SEA 28,2009-09-13,43.0,under,41.0,under,28,2009_01_STL_SEA
CHI 15 @ GB 21,2009-09-13,43.5,under,47.0,under,36,2009_01_CHI_GB
BUF 24 @ NE 25,2009-09-14,46.5,over,47.5,over,49,2009_01_BUF_NE
SD 24 @ OAK 20,2009-09-14,44.0,push,42.5,over,44,2009_01_SD_OAK
WAS 7 @ NYG 16,2008-09-04,40.0,under,41.0,under,23,2008_01_WAS_NYG
CIN 10 @ BAL 17,2008-09-07,41.0,under,37.5,under,27,2008_01_CIN_BAL
NYJ 20 @ MIA 14,2008-09-07,36.0,under,37.0,under,34,2008_01_NYJ_MIA
KC 10 @ NE 17,2008-09-07,48.0,under,43.0,under,27,2008_01_KC_NE
HOU 17 @ PIT 38,2008-09-07,43.5,over,43.5,over,55,2008_01_HOU_PIT
JAC 10 @ TEN 17,2008-09-07,37.0,under,37.0,under,27,2008_01_JAX_TEN
DET 21 @ ATL 34,2008-09-07,43.0,over,41.0,over,55,2008_01_DET_ATL
SEA 10 @ BUF 34,2008-09-07,39.5,over,37.5,over,44,2008_01_SEA_BUF
TB 20 @ NO 24,2008-09-07,43.0,over,43.0,over,44,2008_01_TB_NO
STL 3 @ PHI 38,2008-09-07,45.5,under,43.5,under,41,2008_01_STL_PHI
DAL 28 @ CLE 10,2008-09-07,48.5,under,48.0,under,38,2008_01_DAL_CLE
CAR 26 @ SD 24,2008-09-07,42.5,over,41.0,over,50,2008_01_CAR_SD
ARI 23 @ SF 13,2008-09-07,41.5,under,42.5,under,36,2008_01_ARI_SF
CHI 29 @ IND 13,2008-09-07,44.5,under,43.0,under,42,2008_01_CHI_IND
MIN 19 @ GB 24,2008-09-08,38.5,over,37.0,over,43,2008_01_MIN_GB
DEN 41 @ OAK 14,2008-09-08,41.5,over,40.0,over,55,2008_01_DEN_OAK
NO 10 @ IND 41,2007-09-06,50.5,over,52.5,under,51,2007_01_NO_IND
KC 3 @ HOU 20,2007-09-09,38.5,under,37.5,under,23,2007_01_KC_HOU
DEN 15 @ BUF 14,2007-09-09,37.0,under,38.0,under,29,2007_01_DEN_BUF
PIT 34 @ CLE 7,2007-09-09,37.5,over,36.5,over,41,2007_01_PIT_CLE
TEN 13 @ JAC 10,2007-09-09,37.5,under,39.5,under,23,2007_01_TEN_JAX
CAR 27 @ STL 13,2007-09-09,42.0,under,43.0,under,40,2007_01_CAR_STL
PHI 13 @ GB 16,2007-09-09,43.5,under,41.5,under,29,2007_01_PHI_GB
ATL 3 @ MIN 24,2007-09-09,36.0,under,34.5,under,27,2007_01_ATL_MIN
MIA 13 @ WAS 16,2007-09-09,36.0,under,34.0,under,29,2007_01_MIA_WAS
NE 38 @ NYJ 14,2007-09-09,40.5,over,41.5,over,52,2007_01_NE_NYJ
TB 6 @ SEA 20,2007-09-09,41.0,under,40.5,under,26,2007_01_TB_SEA
CHI 3 @ SD 14,2007-09-09,43.0,under,43.0,under,17,2007_01_CHI_SD
DET 36 @ OAK 21,2007-09-09,36.0,over,39.5,over,57,2007_01_DET_OAK
NYG 35 @ DAL 45,2007-09-09,44.0,over,44.0,over,80,2007_01_NYG_DAL
BAL 20 @ CIN 27,2007-09-10,40.0,over,39.5,over,47,2007_01_BAL_CIN
ARI 17 @ SF 20,2007-09-10,45.0,under,47.0,under,37,2007_01_ARI_SF
TB 20 @ CAR 14,2019-09-12,50.5,under,48.0,under,34,2019_02_TB_CAR
ARI 17 @ BAL 23,2019-09-15,42.5,under,46.0,under,40,2019_02_ARI_BAL
BUF 28 @ NYG 14,2019-09-15,42.5,under,44.5,under,42,2019_02_BUF_NYG
DAL 31 @ WAS 21,2019-09-15,44.0,over,46.5,over,52,2019_02_DAL_WAS
IND 19 @ TEN 17,2019-09-15,44.0,under,43.5,under,36,2019_02_IND_TEN
JAC 12 @ HOU 13,2019-09-15,44.5,under,43.0,under,25,2019_02_JAX_HOU
LAC 10 @ DET 13,2019-09-15,47.0,under,47.0,under,23,2019_02_LAC_DET
MIN 16 @ GB 21,2019-09-15,46.0,under,43.0,under,37,2019_02_MIN_GB
NE 43 @ MIA 0,2019-09-15,47.0,under,48.5,under,43,2019_02_NE_MIA
SF 41 @ CIN 17,2019-09-15,45.0,over,45.0,over,58,2019_02_SF_CIN
SEA 28 @ PIT 26,2019-09-15,46.5,over,47.0,over,54,2019_02_SEA_PIT
KC 28 @ OAK 10,2019-09-15,52.0,under,53.5,under,38,2019_02_KC_OAK
CHI 16 @ DEN 14,2019-09-15,40.5,under,41.0,under,30,2019_02_CHI_DEN
NO 9 @ LAR 27,2019-09-15,54.0,under,52.5,under,36,2019_02_NO_LA
PHI 20 @ ATL 24,2019-09-15,51.0,under,53.0,under,44,2019_02_PHI_ATL
CLE 23 @ NYJ 3,2019-09-16,46.0,under,45.5,under,26,2019_02_CLE_NYJ
BAL 23 @ CIN 34,2018-09-13,43.5,over,43.0,over,57,2018_02_BAL_CIN
CAR 24 @ ATL 31,2018-09-16,44.0,over,44.0,over,55,2018_02_CAR_ATL
CLE 18 @ NO 21,2018-09-16,48.0,under,51.0,under,39,2018_02_CLE_NO
HOU 17 @ TEN 20,2018-09-16,45.0,under,41.0,under,37,2018_02_HOU_TEN
IND 21 @ WAS 9,2018-09-16,47.0,under,48.0,under,30,2018_02_IND_WAS
KC 42 @ PIT 37,2018-09-16,49.5,over,52.0,over,79,2018_02_KC_PIT
LAC 31 @ BUF 20,2018-09-16,44.0,over,41.5,over,51,2018_02_LAC_BUF
MIA 20 @ NYJ 12,2018-09-16,44.0,under,43.0,under,32,2018_02_MIA_NYJ
MIN 29 @ GB 29,2018-09-16,45.0,over,45.0,over,58,2018_02_MIN_GB
PHI 21 @ TB 27,2018-09-16,44.0,over,46.5,over,48,2018_02_PHI_TB
ARI 0 @ LAR 34,2018-09-16,46.5,under,43.5,under,34,2018_02_ARI_LA
DET 27 @ SF 30,2018-09-16,47.5,over,48.5,over,57,2018_02_DET_SF
OAK 19 @ DEN 20,2018-09-16,45.0,under,44.5,under,39,2018_02_OAK_DEN
NE 20 @ JAC 31,2018-09-16,45.0,over,44.5,over,51,2018_02_NE_JAX
NYG 13 @ DAL 20,2018-09-16,43.0,under,42.0,under,33,2018_02_NYG_DAL
SEA 17 @ CHI 24,2018-09-17,43.5,under,42.5,under,41,2018_02_SEA_CHI
HOU 13 @ CIN 9,2017-09-14,38.5,under,38.0,under,22,2017_02_HOU_CIN
MIN 9 @ PIT 26,2017-09-17,45.0,under,43.0,under,35,2017_02_MIN_PIT
CLE 10 @ BAL 24,2017-09-17,41.0,under,39.5,under,34,2017_02_CLE_BAL
CHI 7 @ TB 29,2017-09-17,43.0,under,44.0,under,36,2017_02_CHI_TB
BUF 3 @ CAR 9,2017-09-17,42.5,under,43.0,under,12,2017_02_BUF_CAR
ARI 16 @ IND 13,2017-09-17,44.0,under,44.0,under,29,2017_02_ARI_IND
TEN 37 @ JAC 16,2017-09-17,44.0,over,42.0,over,53,2017_02_TEN_JAX
PHI 20 @ KC 27,2017-09-17,48.0,under,46.5,over,47,2017_02_PHI_KC
NE 36 @ NO 20,2017-09-17,54.0,over,55.0,over,56,2017_02_NE_NO
NYJ 20 @ OAK 45,2017-09-17,43.5,over,44.0,over,65,2017_02_NYJ_OAK
MIA 19 @ LAC 17,2017-09-17,45.0,under,46.5,under,36,2017_02_MIA_LAC
DAL 17 @ DEN 42,2017-09-17,43.0,over,44.0,over,59,2017_02_DAL_DEN
WAS 27 @ LAR 20,2017-09-17,46.0,over,45.5,over,47,2017_02_WAS_LA
SF 9 @ SEA 12,2017-09-17,43.0,under,42.0,under,21,2017_02_SF_SEA
GB 23 @ ATL 34,2017-09-17,53.5,over,55.0,over,57,2017_02_GB_ATL
DET 24 @ NYG 10,2017-09-18,43.5,under,42.0,under,34,2017_02_DET_NYG
NYJ 37 @ BUF 31,2016-09-15,42.5,over,40.5,over,68,2016_02_NYJ_BUF
NO 13 @ NYG 16,2016-09-18,52.0,under,54.0,under,29,2016_02_NO_NYG
KC 12 @ HOU 19,2016-09-18,43.5,under,41.5,under,31,2016_02_KC_HOU
CIN 16 @ PIT 24,2016-09-18,48.0,under,48.0,under,40,2016_02_CIN_PIT
DAL 27 @ WAS 23,2016-09-18,46.5,over,47.0,over,50,2016_02_DAL_WAS
MIA 24 @ NE 31,2016-09-18,42.5,over,42.0,over,55,2016_02_MIA_NE
TEN 16 @ DET 15,2016-09-18,46.5,under,48.0,under,31,2016_02_TEN_DET
BAL 25 @ CLE 20,2016-09-18,43.0,over,42.0,over,45,2016_02_BAL_CLE
SF 27 @ CAR 46,2016-09-18,45.0,over,44.5,over,73,2016_02_SF_CAR
TB 7 @ ARI 40,2016-09-18,50.0,under,49.5,under,47,2016_02_TB_ARI
SEA 3 @ LA 9,2016-09-18,38.5,under,38.0,under,12,2016_02_SEA_LA
IND 20 @ DEN 34,2016-09-18,45.0,over,47.0,over,54,2016_02_IND_DEN
JAC 14 @ SD 38,2016-09-18,47.0,over,47.5,over,52,2016_02_JAX_SD
ATL 35 @ OAK 28,2016-09-18,48.0,over,47.5,over,63,2016_02_ATL_OAK
GB 14 @ MIN 17,2016-09-18,44.5,under,43.0,under,31,2016_02_GB_MIN
PHI 29 @ CHI 14,2016-09-19,42.5,over,42.5,over,43,2016_02_PHI_CHI
DEN 31 @ KC 24,2015-09-17,44.5,over,42.0,over,55,2015_02_DEN_KC
DET 16 @ MIN 26,2015-09-20,44.0,under,44.0,under,42,2015_02_DET_MIN
ARI 48 @ CHI 23,2015-09-20,44.5,over,45.5,over,71,2015_02_ARI_CHI
TEN 14 @ CLE 28,2015-09-20,41.5,over,41.0,over,42,2015_02_TEN_CLE
NE 40 @ BUF 32,2015-09-20,45.5,over,45.0,over,72,2015_02_NE_BUF
HOU 17 @ CAR 24,2015-09-20,40.5,over,41.0,push,41,2015_02_HOU_CAR
SF 18 @ PIT 43,2015-09-20,44.0,over,46.0,over,61,2015_02_SF_PIT
SD 19 @ CIN 24,2015-09-20,45.5,under,47.5,under,43,2015_02_SD_CIN
STL 10 @ WAS 24,2015-09-20,42.0,under,41.0,under,34,2015_02_STL_WAS
ATL 24 @ NYG 20,2015-09-20,51.0,under,49.5,under,44,2015_02_ATL_NYG
TB 26 @ NO 19,2015-09-20,48.5,under,47.0,under,45,2015_02_TB_NO
BAL 33 @ OAK 37,2015-09-20,43.0,over,42.0,over,70,2015_02_BAL_OAK
MIA 20 @ JAC 23,2015-09-20,41.5,over,42.5,over,43,2015_02_MIA_JAX
DAL 20 @ PHI 10,2015-09-20,55.0,under,53.0,under,30,2015_02_DAL_PHI
SEA 17 @ GB 27,2015-09-20,49.0,under,49.0,under,44,2015_02_SEA_GB
NYJ 20 @ IND 7,2015-09-21,47.0,under,45.5,under,27,2015_02_NYJ_IND
PIT 6 @ BAL 26,2014-09-11,43.5,under,44.0,under,32,2014_02_PIT_BAL
MIA 10 @ BUF 29,2014-09-14,44.5,under,43.0,under,39,2014_02_MIA_BUF
JAC 10 @ WAS 41,2014-09-14,45.0,over,43.0,over,51,2014_02_JAX_WAS
DAL 26 @ TEN 10,2014-09-14,47.5,under,49.5,under,36,2014_02_DAL_TEN
ARI 25 @ NYG 14,2014-09-14,45.5,under,41.5,under,39,2014_02_ARI_NYG
NE 30 @ MIN 7,2014-09-14,49.0,under,49.0,under,37,2014_02_NE_MIN
NO 24 @ CLE 26,2014-09-14,47.5,over,49.5,over,50,2014_02_NO_CLE
ATL 10 @ CIN 24,2014-09-14,48.0,under,48.5,under,34,2014_02_ATL_CIN
DET 7 @ CAR 24,2014-09-14,43.5,under,43.5,under,31,2014_02_DET_CAR
