name,id,teams,grpid
B.Gibson,00-0026937,LA (2010-2010),brandon-gibson-wr
B.Gibson,32013030-2d30-3032-3639-3337e550df46,LA (2011-2011),brandon-gibson-wr
B.Gradkowski,00-0024408,"CLE (2008-2008),LV (2009-2010),TB (2006-2007)",bruce-gradkowski-qb
B.Gradkowski,32013030-2d30-3032-3434-3038f524922d,"CIN (2011-2012),PIT (2014-2014)",bruce-gradkowski-qb
B.Green-Ellis,00-0025860,NE (2008-2010),benjarvus-green-ellis-rb
B.Green-Ellis,32013030-2d30-3032-3538-3630d961ca12,"CIN (2012-2013),NE (2011-2011)",benjarvus-green-ellis-rb
B.Hartline,00-0027077,MIA (2009-2010),brian-hartline-wr
B.Hartline,32013030-2d30-3032-3730-373793caffd8,MIA (2011-2011),brian-hartline-wr
B.Hill,32013030-2d30-3033-3232-39383b23dc09,"ARI (2017-2017),JAX (2016-2016)",bronson-hill-rb
B.Hill,32013030-2d30-3033-3335-36379c914315,"ATL (2018-2019),CIN (2017-2017)",brian-hill-rb
B.Hoyer,00-0026625,NE (2009-2010),brian-hoyer-qb
B.Hoyer,32013030-2d30-3032-3636-3235a601d8e5,"ARI (2012-2012),CHI (2016-2016),CLE (2013-2014),HOU (2015-2015),IND (2019-2019),NE (2011-2018),SF (2017-2017)",brian-hoyer-qb
B.Jackson,00-0025450,GB (2007-2010),brandon-jackson-rb
B.Jackson,32013030-2d30-3032-3534-353011db9ba6,CLE (2012-2012),brandon-jackson-rb
B.Jacobs,00-0023545,NYG (2005-2010),brandon-jacobs-rb
B.Jacobs,32013030-2d30-3032-3335-3435e5f50fe8,"NYG (2011-2013),SF (2012-2012)",brandon-jacobs-rb
B.Johnson,00-0008442,"DAL (2007-2008),MIN (2005-2006),TB (2001-2004),WAS (1999-2000)",brad-johnson-qb
B.Johnson,00-0019172,"CHI (2005-2005),WAS (2002-2003)",bryan-johnson-fb
B.Johnson,00-0021993,NE (2003-2004),bethel-johnson-wr
B.Johnson,00-0022156,ARI (2004-2006),bryant-johnson-wr
B.Johnson,32013030-2d30-3032-3231-353660e7c565,HOU (2011-2011),bryant-johnson-wr
B.Kern,00-0025825,TEN (2010-2010),brett-kern-p
B.Kern,32013030-2d30-3032-3538-3235a1e18149,TEN (2011-2019),brett-kern-p
B.LaFell,00-0027681,CAR (2010-2010),brandon-lafell-wr
B.LaFell,32013030-2d30-3032-3736-38313a4cc13f,"CAR (2012-2013),CIN (2016-2016),NE (2014-2015)",brandon-lafell-wr
B.Leftwich,00-0022177,"ATL (2007-2007),JAX (2003-2006),PIT (2008-2010),TB (2009-2009)",byron-leftwich-qb
B.Leftwich,32013030-2d30-3032-3231-3737dee12508,PIT (2012-2012),byron-leftwich-qb
B.Leonard,00-0025439,"CIN (2009-2010),LA (2007-2008)",brian-leonard-rb
B.Leonard,32013030-2d30-3032-3534-3339af7dd1ca,"CIN (2011-2012),TB (2013-2013)",brian-leonard-rb
B.Lloyd,00-0022097,DEN (2010-2010),brandon-lloyd-wr
B.Lloyd,32013030-2d30-3032-3230-39376094ad7b,LA (2011-2011),brandon-lloyd-wr
B.Marshall,00-0024334,"DEN (2006-2009),MIA (2010-2010)",brandon-marshall-wr
B.Marshall,32013030-2d30-3032-3433-3334d8cecffc,"CHI (2012-2012),MIA (2011-2011)",brandon-marshall-wr
B.Marshall,32013030-2d30-3033-3239-3634a164d47b,"PHI (2016-2016),WAS (2017-2018)",byron-marshall-rb
B.Miller,32013030-2d30-3032-3637-3132f46f4366,LA (2011-2011),britt-miller-lb
B.Miller,32013030-2d30-3032-3831-3439c72dc458,SF (2011-2015),bruce-miller-fb
B.Miller,32013030-2d30-3033-3330-36394e729430,HOU (2016-2017),braxton-miller-wr
B.Mitchell,00-0011392,GB (1999-2000),basil-mitchell-rb
B.Mitchell,00-0011399,"NYG (2003-2003),PHI (2000-2002),WAS (1999-1999)",brian-mitchell-rb
B.Obomanu,00-0024463,SEA (2010-2010),ben-obomanu-wr
B.Obomanu,32013030-2d30-3032-3434-36335b089313,SEA (2011-2012),ben-obomanu-wr
B.Powell,32013030-2d30-3032-3830-36349cf1bce9,NYJ (2011-2019),bilal-powell-rb
B.Powell,32013030-2d30-3033-3436-3436c702d044,DET (2018-2018),brandon-powell-wr
B.Quinn,00-0025409,CLE (2007-2009),brady-quinn-qb
B.Quinn,32013030-2d30-3032-3534-3039681cbb21,KC (2012-2012),brady-quinn-qb
B.Roethlisberger,00-0022924,PIT (2004-2010),ben-roethlisberger-qb
B.Roethlisberger,32013030-2d30-3032-3239-3234f41ff7f7,PIT (2011-2019),ben-roethlisberger-qb
B.Scott,00-0026941,CIN (2009-2010),bernard-scott-rb
B.Scott,32013030-2d30-3032-3639-343132b4b3bb,"BAL (2013-2013),CIN (2011-2012)",bernard-scott-rb
B.Scott,32013030-2d30-3033-3434-31346ad31998,PHI (2019-2019),boston-scott-rb
B.Smith,00-0024318,NYJ (2006-2010),brad-smith-wr
B.Smith,32013030-2d30-3032-3433-3138f996ca29,"BUF (2011-2012),PHI (2013-2013)",brad-smith-wr
B.Tate,00-0027057,NE (2009-2010),brandon-tate-wr
B.Tate,32013030-2d30-3032-3730-3537eac585f2,"BUF (2016-2016),CIN (2012-2014)",brandon-tate-wr
B.Tate,32013030-2d30-3032-3738-39308c123fd8,"CLE (2014-2014),HOU (2011-2013),MIN (2014-2014),PIT (2014-2014)",ben-tate-rb
B.Volek,00-0019041,"LAC (2006-2010),TEN (2001-2005)",billy-volek-qb
B.Volek,32013030-2d30-3031-3930-3431ebc5d385,LAC (2011-2011),billy-volek-qb
C.Anderson,32013030-2d30-3032-3635-3738ac5b4fab,IND (2015-2015),colt-anderson-db
C.Anderson,32013030-2d30-3032-3938-35347ae56d7e,"CAR (2018-2018),DEN (2013-2017),DET (2019-2019),LA (2018-2018)",cj-anderson-rb
C.Batch,00-0000865,"DET (1999-2001),PIT (2003-2010)",charlie-batch-qb
C.Batch,32013030-2d30-3030-3038-3635f69471c1,PIT (2011-2012),charlie-batch-qb
C.Benson,00-0023439,"CHI (2005-2007),CIN (2008-2010)",cedric-benson-rb
C.Benson,32013030-2d30-3032-3334-3339a83f6766,"CIN (2011-2011),GB (2012-2012)",cedric-benson-rb
C.Brinkley,00-0026745,LAC (2010-2010),curtis-brinkley-rb
C.Brinkley,32013030-2d30-3032-3637-343582afac60,LAC (2011-2012),curtis-brinkley-rb
C.Brown,00-0022092,"HOU (2009-2009),TEN (2003-2007)",chris-brown-rb
C.Brown,32013030-2d30-3033-3131-3138aae58913,CAR (2014-2016),corey-brown-wr
C.Daniel,00-0026544,NO (2010-2010),chase-daniel-qb
C.Daniel,32013030-2d30-3032-3635-3434e5fd94ff,"CHI (2018-2019),KC (2013-2015),NO (2011-2017),PHI (2016-2016)",chase-daniel-qb
C.Davis,00-0022434,PIT (2007-2009),carey-davis-rb
C.Davis,00-0025417,LAC (2007-2009),craig-davis-wr
C.Davis,00-0025794,NYJ (2007-2007),chris-davis-wr
C.Davis,32013030-2d30-3033-3338-3731ec0301e3,TEN (2018-2018),corey-davis-wr
C.Hall,00-0027188,PHI (2010-2010),chad-hall-wr
C.Hall,32013030-2d30-3032-3731-3838273ecad0,PHI (2011-2011),chad-hall-wr
C.Hanie,00-0025970,CHI (2009-2010),caleb-hanie-qb
C.Hanie,32013030-2d30-3032-3539-373029690f00,CHI (2011-2011),caleb-hanie-qb
C.Henne,00-0026197,MIA (2008-2010),chad-henne-wr
C.Henne,32013030-2d30-3032-3631-3937880c57ee,"JAX (2012-2017),KC (2018-2018),MIA (2011-2011)",chad-henne-wr
C.Henry,00-0025437,TEN (2007-2008),chris-henry-rb
C.Henry,32013030-2d30-3032-3834-323767227ca6,PHI (2011-2011),chas-henry-p
C.Ivory,00-0027531,NO (2010-2010),chris-ivory-rb
C.Ivory,32013030-2d30-3032-3735-33312117c671,"BUF (2018-2018),JAX (2016-2017),NO (2011-2012),NYJ (2013-2015)",chris-ivory-rb
C.Johnson,00-0008454,PHI (2000-2000),charles-johnson-wr
C.Johnson,00-0020397,CIN (2004-2010),chad-johnson-wr
C.Johnson,00-0025389,DET (2007-2010),calvin-johnson-wr
C.Johnson,00-0026164,TEN (2008-2010),chris-johnson-rb
